                                                                    Batteries	                                                              Base
BatList.remove : 'a list -> 'a -> 'a list	
BatList.remove_all : 'a list -> 'a -> 'a list	
BatList.remove_if : ('a -> bool) -> 'a list -> 'a list	
BatList.rfind : ('a -> bool) -> 'a list -> 'a	
BatList.rindex_of : 'a -> 'a list -> int option	
BatList.rindex_ofq : 'a -> 'a list -> int option	
BatList.shuffle : ?state:Random.State.t -> 'a list -> 'a list	
BatList.singleton : 'a -> 'a list	
BatList.sort_unique : ('a -> 'a -> int) -> 'a list -> 'a list	
BatList.span : ('a -> bool) -> 'a list -> 'a list * 'a list	
BatList.split_at : int -> 'a list -> 'a list * 'a list	
BatList.split_nth : int -> 'a list -> 'a list * 'a list	
BatList.subset : ('a -> 'b -> int) -> 'a list -> 'b list -> bool	
BatList.sum : int list -> int	
BatList.takedrop : int -> 'a list -> 'a list * 'a list	
BatList.takewhile : ('a -> bool) -> 'a list -> 'a list	
BatList.transpose : 'a list list -> 'a list list	
BatList.unfold : 'b -> ('b -> ('a * 'b) option) -> 'a list	
BatList.unfold_exc : (unit -> 'a) -> 'a list * exn	
BatList.unfold_exn : (unit -> 'a) -> 'a list * exn	
BatList.unique_cmp : ?cmp:('a -> 'a -> int) -> 'a list -> 'a list	
BatList.unique_hash : ?hash:('a -> int) -> ?eq:('a -> 'a -> bool) -> 'a list -> 'a list	
BatMap.( --> ) : ('a, 'b) map -> 'a -> 'b	
BatMap.( <-- ) : ('a, 'b) map -> 'a * 'b -> ('a, 'b) map	
BatMap.add_carry : 'a -> 'b -> ('a, 'b) map -> ('a, 'b) map * 'b option	
BatMap.any : ('key, 'a) map -> 'key * 'a	
BatMap.at_rank_exn : int -> ('key, 'a) map -> 'key * 'a	
BatMap.backwards : ('a, 'b) map -> ('a * 'b) BatEnum.t	
BatMap.diff : ('a, 'b) map -> ('a, 'b) map -> ('a, 'b) map	
BatMap.enum : ('a, 'b) map -> ('a * 'b) BatEnum.t	
BatMap.extract : 'a -> ('a, 'b) map -> 'b * ('a, 'b) map	
BatMap.filterv : ('a -> bool) -> ('key, 'a) map -> ('key, 'a) map	
BatMap.find_default : 'b -> 'a -> ('a, 'b) map -> 'b	
BatMap.foldi : ('a -> 'b -> 'c -> 'c) -> ('a, 'b) map -> 'c -> 'c	
BatMap.intersect : ('b -> 'c -> 'd) -> ('a, 'b) map -> ('a, 'c) map -> ('a, 'd) map	
BatMap.modify : 'a -> ('b -> 'b) -> ('a, 'b) map -> ('a, 'b) map	
BatMap.modify_def : 'b -> 'a -> ('b -> 'b) -> ('a, 'b) map -> ('a, 'b) map	
BatMap.modify_opt : 'a -> ('b option -> 'b option) -> ('a, 'b) map -> ('a, 'b) map	
BatMap.of_enum : ('a * 'b) BatEnum.t -> ('a, 'b) map	
BatMap.pop : ('a, 'b) map -> ('a * 'b) * ('a, 'b) map	
BatMap.pop_max_binding : ('key, 'a) map -> ('key * 'a) * ('key, 'a) map	
BatMap.pop_min_binding : ('key, 'a) map -> ('key * 'a) * ('key, 'a) map	
BatMap.print : ?first:string -> ?last:string -> ?sep:string -> ?kvsep:string -> ('a BatInnerIO.output -> 'b -> unit) -> ('a BatInnerIO.output -> 'c -> unit) -> 'a BatInnerIO.output -> ('b, 'c) map -> unit	
BatMap.remove_exn : 'a -> ('a, 'b) map -> ('a, 'b) map	
BatMap.union_stdlib : ('key -> 'a -> 'a -> 'a option) -> ('key, 'a) map -> ('key, 'a) map -> ('key, 'a) map	
BatMap.update_stdlib : 'a -> ('b option -> 'b option) -> ('a, 'b) map -> ('a, 'b) map	
BatOption.( |? ) : 'a option -> 'a -> 'a	
BatOption.Labels.map : f:('a -> 'b) -> 'a option -> 'b option	
BatOption.Labels.map_default : f:('a -> 'b) -> 'b -> 'a option -> 'b	
BatOption.Labels.may : f:('a -> unit) -> 'a option -> unit	
BatOption.apply : ('a -> 'a) option -> 'a -> 'a	
BatOption.default : 'a -> 'a option -> 'a	
BatOption.default_delayed : (unit -> 'a) -> 'a option -> 'a	
BatOption.enum : 'a option -> 'a BatEnum.t	
BatOption.eq : ?eq:('a -> 'a -> bool) -> 'a option -> 'a option -> bool	
BatOption.get : 'a option -> 'a	
BatOption.get_exn : 'a option -> exn -> 'a	
BatOption.map_default : ('a -> 'b) -> 'b -> 'a option -> 'b	
BatOption.map_default_delayed : ('a -> 'b) -> (unit -> 'b) -> 'a option -> 'b	
BatOption.may : ('a -> unit) -> 'a option -> unit	
BatOption.of_enum : 'a BatEnum.t -> 'a option	
BatOption.ord : 'a BatOrd.ord -> 'a option BatOrd.ord	
BatOption.print : ('a BatInnerIO.output -> 'b -> unit) -> 'a BatInnerIO.output -> 'b option -> unit	
BatPrintf.bprintf2 : Buffer.t -> ('b, 'a BatInnerIO.output, unit) BatPrintf.t -> 'b	
BatPrintf.kbprintf2 : (Buffer.t -> 'b) -> Buffer.t -> ('c, 'a BatInnerIO.output, unit, 'b) format4 -> 'c	
BatPrintf.ksprintf2 : (string -> 'b) -> ('c, 'a BatInnerIO.output, unit, 'b) format4 -> 'c	
BatPrintf.sprintf2 : ('a, 'b BatInnerIO.output, unit, string) format4 -> 'a	
BatResult.catch : ('a -> 'e) -> 'a -> ('e, exn) result	
BatResult.catch2 : ('a -> 'b -> 'c) -> 'a -> 'b -> ('c, exn) result	
BatResult.catch3 : ('a -> 'b -> 'c -> 'd) -> 'a -> 'b -> 'c -> ('d, exn) result	
BatResult.default : 'a -> ('a, 'b) result -> 'a	
BatResult.get : ('a, exn) result -> 'a	
BatResult.get_error : ('a, 'e) result -> 'e	
BatResult.is_bad : ('a, 'e) result -> bool	
BatResult.is_exn : exn -> ('a, exn) result -> bool	
BatResult.map_both : ('a1 -> 'a2) -> ('b1 -> 'b2) -> ('a1, 'b1) result -> ('a2, 'b2) result	
BatResult.map_default : 'b -> ('a -> 'b) -> ('a, 'c) result -> 'b	
BatResult.of_option : 'a option -> ('a, unit) result	
BatResult.ok : 'a -> ('a, 'b) result	
BatResult.print : ('b BatInnerIO.output -> 'a -> unit) -> 'b BatInnerIO.output -> ('a, exn) result -> unit	
BatResult.to_list : ('a, 'e) result -> 'a list	
BatResult.value : ('a, 'e) result -> default:'a -> 'a	
BatSeq.( --- ) : int -> int -> int Seq.t	
BatSeq.( --. ) : float * float -> float -> float Seq.t	
BatSeq.( --~ ) : char -> char -> char Seq.t	
BatSeq.( // ) : 'a Seq.t -> ('a -> bool) -> 'a Seq.t	
BatSeq.( //@ ) : 'a Seq.t -> ('a -> 'b option) -> 'b Seq.t	
BatSeq.( /@ ) : 'a Seq.t -> ('a -> 'b) -> 'b Seq.t	
BatSeq.( @/ ) : ('a -> 'b) -> 'a Seq.t -> 'b Seq.t	
BatSeq.( @// ) : ('a -> 'b option) -> 'a Seq.t -> 'b Seq.t	
BatSeq.assoc : 'a -> ('a * 'b) Seq.t -> 'b option	
BatSeq.at : 'a Seq.t -> int -> 'a	
BatSeq.combine : 'a Seq.t -> 'b Seq.t -> ('a * 'b) Seq.t	
BatSeq.enum : 'a Seq.t -> 'a BatEnum.t	
BatSeq.first : 'a Seq.t -> 'a	
BatSeq.fold_right : ('a -> 'b -> 'b) -> 'a Seq.t -> 'b -> 'b	
BatSeq.last : 'a Seq.t -> 'a	
BatSeq.make : int -> 'a -> 'a Seq.t	
BatSeq.max : 'a Seq.t -> 'a	
BatSeq.mem : 'a -> 'a Seq.t -> bool	
BatSeq.min : 'a Seq.t -> 'a	
BatSeq.nil : 'a Seq.t	
BatSeq.of_string : ?first:string -> ?last:string -> ?sep:string -> (string -> 'a) -> string -> 'a Seq.t	
BatSeq.print : ?first:string -> ?last:string -> ?sep:string -> ('a BatInnerIO.output -> 'b -> unit) -> 'a BatInnerIO.output -> 'b Seq.t -> unit	
BatSeq.split : ('a * 'b) Seq.t -> 'a Seq.t * 'b Seq.t	
BatSeq.to_buffer : ?first:string -> ?last:string -> ?sep:string -> ('a -> string) -> Buffer.t -> (unit -> 'a BatSeq.node) -> unit	
BatSeq.to_string : ?first:string -> ?last:string -> ?sep:string -> ('a -> string) -> 'a Seq.t -> string	
BatSet.any : 'a set -> 'a	
BatSet.at_rank_exn : int -> 'a set -> 'a	
BatSet.backwards : 'a set -> 'a BatEnum.t	
BatSet.cartesian_product : 'a set -> 'b set -> ('a * 'b) set	
BatSet.enum : 'a set -> 'a BatEnum.t	
BatSet.filter_map_endo : ('a -> 'a option) -> 'a set -> 'a set	
BatSet.map_endo : ('a -> 'a) -> 'a set -> 'a set	
BatSet.of_enum : 'a BatEnum.t -> 'a set	
BatSet.pop : 'a set -> 'a * 'a set	
BatSet.pop_max : 'a set -> 'a * 'a set	
BatSet.pop_min : 'a set -> 'a * 'a set	
BatSet.print : ?first:string -> ?last:string -> ?sep:string -> ('a BatInnerIO.output -> 'c -> unit) -> 'a BatInnerIO.output -> 'c set -> unit	
BatSet.remove_exn : 'a -> 'a set -> 'a set	
BatSet.split_le : 'a -> 'a set -> 'a set * 'a set	
BatSet.split_lt : 'a -> 'a set -> 'a set * 'a set	
BatSet.update : 'a -> 'a -> 'a set -> 'a set	
BatString.backwards : string -> char BatEnum.t	
BatString.chop : ?l:int -> ?r:int -> string -> string	
BatString.count_char : string -> char -> int	
BatString.count_string : string -> string -> int	
BatString.cut_on_char : char -> int -> string -> string	
BatString.ends_with : string -> string -> bool	
BatString.enum : string -> char BatEnum.t	
BatString.exists : string -> string -> bool	
BatString.explode : string -> char list	
BatString.find_from : string -> int -> string -> int	
BatString.fold_lefti : ('a -> int -> char -> 'a) -> 'a -> string -> 'a	
BatString.fold_right : (char -> 'a -> 'a) -> string -> 'a -> 'a	
BatString.fold_righti : (int -> char -> 'a -> 'a) -> string -> 'a -> 'a	
BatString.head : string -> int -> string	
BatString.icompare : string -> string -> int	
BatString.implode : char list -> string	
BatString.in_place_mirror : bytes -> unit	
BatString.index_after_n : char -> int -> string -> int	
BatString.join : string -> string list -> string	
BatString.lchop : ?n:int -> string -> string	
BatString.left : string -> int -> string	
BatString.nreplace : str:string -> sub:string -> by:string -> string	
BatString.nsplit : string -> by:string -> string list	
BatString.numeric_compare : string -> string -> int	
BatString.of_backwards : char BatEnum.t -> string	
BatString.of_enum : char BatEnum.t -> string	
BatString.of_float : float -> string	
BatString.of_int : int -> string	
BatString.ord : string -> string -> BatOrd.order	
BatString.print : 'a BatInnerIO.output -> string -> unit	
BatString.print_quoted : 'a BatInnerIO.output -> string -> unit	
BatString.println : 'a BatInnerIO.output -> string -> unit	
BatString.quote : string -> string	
BatString.rchop : ?n:int -> string -> string	
BatString.replace : str:string -> sub:string -> by:string -> bool * string	
BatString.replace_chars : (char -> string) -> string -> string	
BatString.rev_in_place : bytes -> unit	
BatString.rfind_from : string -> int -> string -> int	
BatString.right : string -> int -> string	
BatString.rsplit : string -> by:string -> string * string	
BatString.slice : ?first:int -> ?last:int -> string -> string	
BatString.splice : string -> int -> int -> string -> string	
BatString.split : string -> by:string -> string * string	
BatString.split_on_string : by:string -> string -> string list	
BatString.starts_with : string -> string -> bool	
BatString.tail : string -> int -> string	
BatString.to_float : string -> float	
BatString.to_int : string -> int	
	Base.Array.binary_search : ('a array, 'a, 'key) Base.Binary_searchable_intf.binary_search
	Base.Array.binary_search_segmented : ('a array, 'a) Base.Binary_searchable_intf.binary_search_segmented
	Base.Array.blito : ('a array, 'a array) Base.Blit_intf.blito
	Base.Array.concat_map : 'a array -> f:('a -> 'b array) -> 'b array
	Base.Array.concat_mapi : 'a array -> f:(int -> 'a -> 'b array) -> 'b array
	Base.Array.counti : 'a array -> f:(int -> 'a -> bool) -> int
	Base.Array.existsi : 'a array -> f:(int -> 'a -> bool) -> bool
	Base.Array.filter_mapi : 'a array -> f:(int -> 'a -> 'b option) -> 'b array
	Base.Array.filter_opt : 'a option array -> 'a array
	Base.Array.filteri : 'a array -> f:(int -> 'a -> bool) -> 'a array
	Base.Array.find : 'a array -> f:('a -> bool) -> 'a option
	Base.Array.find_consecutive_duplicate : 'a array -> equal:('a -> 'a -> bool) -> ('a * 'a) option
	Base.Array.find_map : 'a array -> f:('a -> 'b option) -> 'b option
	Base.Array.find_map_exn : 'a array -> f:('a -> 'b option) -> 'b
	Base.Array.find_mapi : 'a array -> f:(int -> 'a -> 'b option) -> 'b option
	Base.Array.find_mapi_exn : 'a array -> f:(int -> 'a -> 'b option) -> 'b
	Base.Array.findi : 'a array -> f:(int -> 'a -> bool) -> (int * 'a) option
	Base.Array.findi_exn : 'a array -> f:(int -> 'a -> bool) -> int * 'a
	Base.Array.fold_mapi : 'a array -> init:'b -> f:(int -> 'b -> 'a -> 'b * 'c) -> 'b * 'c array
	Base.Array.fold_result : 'a array -> init:'accum -> f:('accum -> 'a -> ('accum, 'e) Base.Result.t) -> ('accum, 'e) Base.Result.t
	Base.Array.fold_until : 'a array -> init:'accum -> f:('accum -> 'a -> ('accum, 'final) Base.Container_intf.Continue_or_stop.t) -> finish:('accum -> 'final) -> 'final
	Base.Array.folding_map : 'a array -> init:'b -> f:('b -> 'a -> 'b * 'c) -> 'c array
	Base.Array.folding_mapi : 'a array -> init:'b -> f:(int -> 'b -> 'a -> 'b * 'c) -> 'c array
	Base.Array.for_alli : 'a array -> f:(int -> 'a -> bool) -> bool
	Base.Array.invariant : 'a Base.Invariant_intf.inv -> 'a array Base.Invariant_intf.inv
	Base.Array.is_empty : 'a array -> bool
	Base.Array.is_sorted : 'a array -> compare:('a -> 'a -> int) -> bool
	Base.Array.is_sorted_strictly : 'a array -> compare:('a -> 'a -> int) -> bool
	Base.Array.last : 'a array -> 'a
	Base.Array.map_inplace : 'a array -> f:('a -> 'a) -> unit
	Base.Array.max_elt : 'a array -> compare:('a -> 'a -> int) -> 'a option
	Base.Array.max_length : int = 18014398509481983
	Base.Array.min_elt : 'a array -> compare:('a -> 'a -> int) -> 'a option
	Base.Array.of_list_map : 'a list -> f:('a -> 'b) -> 'b array
	Base.Array.of_list_mapi : 'a list -> f:(int -> 'a -> 'b) -> 'b array
	Base.Array.of_list_rev : 'a list -> 'a array
	Base.Array.of_list_rev_map : 'a list -> f:('a -> 'b) -> 'b array
	Base.Array.of_list_rev_mapi : 'a list -> f:(int -> 'a -> 'b) -> 'b array
	Base.Array.partitioni_tf : 'a array -> f:(int -> 'a -> bool) -> 'a array * 'a array
	Base.Array.random_element : ?random_state:Base.Random.State.t -> 'a array -> 'a option
	Base.Array.reduce : 'a array -> f:('a -> 'a -> 'a) -> 'a option
	Base.Array.sexp_of_t : ('a -> Sexplib0.Sexp.t) -> 'a array -> Sexplib0.Sexp.t
	Base.Array.subo : ('a array, 'a array) Base.Blit_intf.subo
	Base.Array.sum : (module Base.Container_intf.Summable with type t = 'sum) -> 'a array -> f:('a -> 'sum) -> 'sum
	Base.Array.t_of_sexp : (Sexplib0.Sexp.t -> 'a) -> Sexplib0.Sexp.t -> 'a array
	Base.Array.t_sexp_grammar : Base.Ppx_sexp_conv_lib.Sexp.Private.Raw_grammar.t...
	Base.Array.to_array : 'a array -> 'a array
	Base.Array.to_sequence : 'a array -> 'a Base.Sequence.t
	Base.Array.to_sequence_mutable : 'a array -> 'a Base.Sequence.t
	Base.Array.transpose : 'a array array -> 'a array array option
	Base.Array.transpose_exn : 'a array array -> 'a array array
	Base.Array.unsafe_blit : ('a array, 'a array) Base.Blit.blit
	Base.Array.zip : 'a array -> 'b array -> ('a * 'b) array option
	Base.Array.zip_exn : 'a array -> 'b array -> ('a * 'b) array
	Base.List.Assoc.add : ('a, 'b) Base.List.Assoc.t -> equal:('a -> 'a -> bool) -> 'a -> 'b -> ('a, 'b) Base.List.Assoc.t
	Base.List.Assoc.find : ('a, 'b) Base.List.Assoc.t -> equal:('a -> 'a -> bool) -> 'a -> 'b option
	Base.List.Assoc.find_exn : ('a, 'b) Base.List.Assoc.t -> equal:('a -> 'a -> bool) -> 'a -> 'b
	Base.List.Assoc.inverse : ('a, 'b) Base.List.Assoc.t -> ('b, 'a) Base.List.Assoc.t
	Base.List.Assoc.map : ('a, 'b) Base.List.Assoc.t -> f:('b -> 'c) -> ('a, 'c) Base.List.Assoc.t
	Base.List.Assoc.sexp_of_t : ('a -> Sexplib0.Sexp.t) -> ('b -> Sexplib0.Sexp.t) -> ('a, 'b) Base.List.Assoc.t -> Sexplib0.Sexp.t
	Base.List.Assoc.t_of_sexp : (Sexplib0.Sexp.t -> 'a) -> (Sexplib0.Sexp.t -> 'b) -> Sexplib0.Sexp.t -> ('a, 'b) Base.List.Assoc.t
	Base.List.all_unit : unit list list -> unit list
	Base.List.bind : 'a list -> f:('a -> 'b list) -> 'b list
	Base.List.concat_mapi : 'a list -> f:(int -> 'a -> 'b list) -> 'b list
	Base.List.concat_no_order : 'a list list -> 'a list
	Base.List.contains_dup : compare:('a -> 'a -> int) -> 'a list -> bool
	Base.List.counti : 'a list -> f:(int -> 'a -> bool) -> int
	Base.List.dedup_and_sort : compare:('a -> 'a -> int) -> 'a list -> 'a list
	Base.List.drop_last : 'a list -> 'a list option
	Base.List.drop_last_exn : 'a list -> 'a list
	Base.List.exists2 : 'a list -> 'b list -> f:('a -> 'b -> bool) -> bool Base.List.Or_unequal_lengths.t
	Base.List.existsi : 'a list -> f:(int -> 'a -> bool) -> bool
	Base.List.filter_mapi : 'a list -> f:(int -> 'a -> 'b option) -> 'b list
	Base.List.filter_opt : 'a option list -> 'a list
	Base.List.find_a_dup : compare:('a -> 'a -> int) -> 'a list -> 'a option
	Base.List.find_all_dups : compare:('a -> 'a -> int) -> 'a list -> 'a list
	Base.List.find_consecutive_duplicate : 'a list -> equal:('a -> 'a -> bool) -> ('a * 'a) option
	Base.List.find_map_exn : 'a list -> f:('a -> 'b option) -> 'b
	Base.List.find_mapi_exn : 'a list -> f:(int -> 'a -> 'b option) -> 'b
	Base.List.findi : 'a list -> f:(int -> 'a -> bool) -> (int * 'a) option
	Base.List.fold2 : 'a list -> 'b list -> init:'c -> f:('c -> 'a -> 'b -> 'c) -> 'c Base.List.Or_unequal_lengths.t
	Base.List.fold2_exn : 'a list -> 'b list -> init:'c -> f:('c -> 'a -> 'b -> 'c) -> 'c
	Base.List.fold_result : 'a list -> init:'accum -> f:('accum -> 'a -> ('accum, 'e) Base.Result.t) -> ('accum, 'e) Base.Result.t
	Base.List.fold_until : 'a list -> init:'accum -> f:('accum -> 'a -> ('accum, 'final) Base.Container_intf.Continue_or_stop.t) -> finish:('accum -> 'final) -> 'final
	Base.List.folding_map : 'a list -> init:'b -> f:('b -> 'a -> 'b * 'c) -> 'c list
	Base.List.folding_mapi : 'a list -> init:'b -> f:(int -> 'b -> 'a -> 'b * 'c) -> 'c list
	Base.List.for_all2 : 'a list -> 'b list -> f:('a -> 'b -> bool) -> bool Base.List.Or_unequal_lengths.t
	Base.List.for_alli : 'a list -> f:(int -> 'a -> bool) -> bool
	Base.List.groupi : 'a list -> break:(int -> 'a -> 'a -> bool) -> 'a list list
	Base.List.hash_fold_t : (Base.Ppx_hash_lib.Std.Hash.state -> 'a -> Base.Ppx_hash_lib.Std.Hash.state) -> Base.Ppx_hash_lib.Std.Hash.state -> 'a list -> Base.Ppx_hash_lib.Std.Hash.state
	Base.List.ignore_m : 'a list -> unit list
	Base.List.invariant : 'a Base.Invariant_intf.inv -> 'a list Base.Invariant_intf.inv
	Base.List.is_prefix : 'a list -> prefix:'a list -> equal:('a -> 'a -> bool) -> bool
	Base.List.is_sorted_strictly : 'a list -> compare:('a -> 'a -> int) -> bool
	Base.List.is_suffix : 'a list -> suffix:'a list -> equal:('a -> 'a -> bool) -> bool
	Base.List.iter2 : 'a list -> 'b list -> f:('a -> 'b -> unit) -> unit Base.List.Or_unequal_lengths.t
	Base.List.join : 'a list list -> 'a list
	Base.List.map2 : 'a list -> 'b list -> f:('a -> 'b -> 'c) -> 'c list Base.List.Or_unequal_lengths.t
	Base.List.map3 : 'a list -> 'b list -> 'c list -> f:('a -> 'b -> 'c -> 'd) -> 'd list Base.List.Or_unequal_lengths.t
	Base.List.map3_exn : 'a list -> 'b list -> 'c list -> f:('a -> 'b -> 'c -> 'd) -> 'd list
	Base.List.max_elt : 'a list -> compare:('a -> 'a -> int) -> 'a option
	Base.List.min_elt : 'a list -> compare:('a -> 'a -> int) -> 'a option
	Base.List.of_list : 'a list -> 'a list
	Base.List.partition3_map : 'a list -> f:('a -> [ `Fst of 'b | `Snd of 'c | `Trd of 'd ]) -> 'b list * 'c list * 'd list
	Base.List.partition_result : ('ok, 'error) Base.Result.t list -> 'ok list * 'error list
	Base.List.permute : ?random_state:Base.Random.State.t -> 'a list -> 'a list
	Base.List.random_element : ?random_state:Base.Random.State.t -> 'a list -> 'a option
	Base.List.random_element_exn : ?random_state:Base.Random.State.t -> 'a list -> 'a
	Base.List.range' : compare:('a -> 'a -> int) -> stride:('a -> 'a) -> ?start:[ `exclusive | `inclusive ] -> ?stop:[ `exclusive | `inclusive ] -> 'a -> 'a -> 'a list
	Base.List.reduce_balanced : 'a list -> f:('a -> 'a -> 'a) -> 'a option
	Base.List.reduce_balanced_exn : 'a list -> f:('a -> 'a -> 'a) -> 'a
	Base.List.remove_consecutive_duplicates : ?which_to_keep:[ `First | `Last ] -> 'a list -> equal:('a -> 'a -> bool) -> 'a list
